Cost,Time,Env,Multiplier,Threshold_Label
15444.51782505745,112.0,4674632.004503514,1.0,1.0x ($A=1.0M$)
16068.92740379305,110.0,4672437.193169646,1.0,1.0x ($A=1.0M$)
16173.14941370573,108.0,4634034.955529437,1.0,1.0x ($A=1.0M$)
17744.322915969944,100.0,4646817.812243399,1.0,1.0x ($A=1.0M$)
18703.7248228885,95.0,4978159.6927777575,1.0,1.0x ($A=1.0M$)
19407.663118040087,92.0,4929808.891847991,1.0,1.0x ($A=1.0M$)
16862.318954000853,103.0,4642024.26596126,1.0,1.0x ($A=1.0M$)
18453.948267200398,98.0,4730054.4355255,1.0,1.0x ($A=1.0M$)
15001.00843313865,116.0,4354901.26891908,1.0,1.0x ($A=1.0M$)
19110.165235633653,93.0,5078726.682374413,1.0,1.0x ($A=1.0M$)
18443.38215246316,99.0,4680910.263744088,1.0,1.0x ($A=1.0M$)
16655.67110797268,105.0,4960201.8970759725,1.0,1.0x ($A=1.0M$)
13255.866045393774,126.0,4336176.52227611,1.0,1.0x ($A=1.0M$)
13037.24069997034,126.0,4339372.87669529,1.0,1.0x ($A=1.0M$)
12929.023918787714,127.0,4545070.077413688,1.0,1.0x ($A=1.0M$)
17310.648133455787,105.0,4416077.213171326,1.0,1.0x ($A=1.0M$)
18855.644330281517,96.0,4833253.029866937,1.0,1.0x ($A=1.0M$)
14243.029636265635,122.0,5.598222642382287,1.25,1.25x ($A=1.2M$)
15783.07239732141,110.0,2539206.0768401385,1.25,1.25x ($A=1.2M$)
16360.106724557967,108.0,2497414.4539092854,1.25,1.25x ($A=1.2M$)
12805.345509612893,130.0,5.669934305074466,1.25,1.25x ($A=1.2M$)
12488.088776280563,130.0,5.746187652990536,1.25,1.25x ($A=1.2M$)
14712.831312864851,115.0,2226266.823480839,1.25,1.25x ($A=1.2M$)
15618.085374509841,111.0,2379620.9743364016,1.25,1.25x ($A=1.2M$)
15091.954312040096,115.0,1083477.1186737812,1.25,1.25x ($A=1.2M$)
16090.64017109456,110.0,1748850.4011475143,1.25,1.25x ($A=1.2M$)
13065.592549734854,125.0,901912.5952411043,1.25,1.25x ($A=1.2M$)
13946.075142143605,119.0,1337560.1188774623,1.25,1.25x ($A=1.2M$)
16322.077255419423,109.0,1858868.9200001913,1.25,1.25x ($A=1.2M$)
13274.736328096626,124.0,423069.94020730996,1.25,1.25x ($A=1.2M$)
13654.711348784238,122.0,259983.85841985498,1.25,1.25x ($A=1.2M$)
15688.401031741292,112.0,1397079.688378303,1.25,1.25x ($A=1.2M$)
15504.143923486032,112.0,1549417.5749933,1.25,1.25x ($A=1.2M$)
15913.987885100707,111.0,1178802.8788502438,1.25,1.25x ($A=1.2M$)
